,key,Inclusion decision,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,doi,keywords,pubmed_id,pmc_id
7710,rayyan-1101989542,Include,Performance and preference of broiler chickens exposed to different lighting sources,2013.0,1,1,,1056-6171,22.0,1.0,62-70,"Mendes, Angelica Signor and Paixao, S and ro Jose and Restelatto, Rasiel and Morello, Gabriela Munhoz and de Moura, Daniella Jorge and Possenti, Jean Carlo",,,,,"Vision is important in poultry behavior and welfare. Poultry have highly specialized visual systems, and the majority of their behavior is mediated by vision. In the present study, we evaluated the lighting preference of broiler chickens exposed to different lighting sources and their production performance. In the first portion of the study, we evaluated the preference of birds for white and yellow lighting provided by light-emitting diode (LED) bulbs. Bird preference was assessed by videos recorded during the experiment. In the second portion of the study, we evaluated the performance of broiler chickens exposed to LED and compact fluorescent lamps (CFL). Performance was assessed in terms of mortality rate, bird BW, daily BW gain, feed consumption, and feed conversion. The chickens occupied environments with yellow and white LED lighting evenly and did not show any behavioral sign of preference for one of the environments. However, birds presented greater feed consumption at 21, 28, and 35 d of age when exposed to white LED lighting. Generally, birds exposed to LED lighting presented better production performance than birds under the CFL. Seven-day-old male chickens presented better feed conversion under LED illumination than did males of the same age under CFL.","RAYYAN-INCLUSION: {""Carrie An""=>""Included""}",,Chickens,,
6154,rayyan-1101987919,Include,BIRD KILLS AT TALL LIGHTED STRUCTURES IN THE USA IN THE PERIOD 1935-1973 AND KILLS AT A DUTCH LIGHTHOUSE IN THE PERIOD 1924-1928 SHOW SIMILAR LUNAR PERIODICITY,1981.0,1,1,,0373-2266,69.0,2.0,199-203,"VERHEIJEN, FJ",,,,,,,,,,
5905,rayyan-1101987670,Include,CAPTURING AND MARKING GREATER RHEAS,1992.0,1,1,,0273-8570,63.0,2.0,117-120,"MARTELLA, MB and NAVARRO, JL",,,,,"In 1989-1990, 14 Greater Rheas (Rhea americana) were neck-collared at Cordoba province, Argentina. Birds were stupefied during the night by a light-beam and then caught using 'boleadoras.' The marking device was a numbered adjustable cattle-type PVC legband. This capture and banding technique proved to be efficient and comparatively inexpensive, and could be effective both for other ratites and some large mammals with long legs.","RAYYAN-INCLUSION: {""Carrie An""=>""Included""}",,,,
607,rayyan-1101982372,Include,Seabird mortality induced by land-based artificial lights,2017.0,1,1,,0888-8892,31.0,5.0,986-1001,"Rodriguez, Airam and Holmes, Nick D. and Ryan, Peter G. and Wilson, Kerry-Jayne and Faulquier, Lucie and Murillo, Yovana and Raine, Andre F. and Penniman, Jay F. and Neves, Veronica and Rodriguez, Beneharo and Negro, Juan J. and Chiaradia, Andre and Dann, Peter and Anderson, Tracy and Metzger, Benjamin and Shirai, Masaki and Deppe, Lorna and Wheeler, Jennifer and Hodum, Peter and Gouveia, Catia and Carmo, V and a and Carreira, Gilberto P. and Delgado-Alburqueque, Luis and Guerra-Correa, Carlos and Couzi, Francois-Xavier and Travers, Marc and Le Corre, Matthieu",,,,,"Artificial lights at night cause high mortality of seabirds, one of the most endangered groups of birds globally. Fledglings of burrow-nesting seabirds, and to a lesser extent adults, are attracted to and then grounded (i.e., forced to land) by lights when they fly at night. We reviewed the current state of knowledge of seabird attraction to light to identify information gaps and propose measures to address the problem. Although species in families such as Alcidae and Anatidae can be grounded by artificial light, the most affected seabirds are petrels and shearwaters (Procellariiformes). At least 56 species of Procellariiformes, more than one-third of them (24) threatened, are subject to grounding by lights. Seabirds grounded by lights have been found worldwide, mainly on oceanic islands but also at some continental locations. Petrel breeding grounds confined to formerly uninhabited islands are particularly at risk from light pollution due to tourism and urban sprawl. Where it is impractical to ban external lights, rescue programs of grounded birds offer the most immediate and employed mitigation to reduce the rate of light-induced mortality and save thousands of birds every year. These programs also provide useful information for seabird management. However, these data are typically fragmentary, biased, and uncertain and can lead to inaccurate impact estimates and poor understanding of the phenomenon of seabird attraction to lights. We believe the most urgently needed actions to mitigate and understand light-induced mortality of seabirds are estimation of mortality and effects on populations; determination of threshold light levels and safe distances from light sources; documentation of the fate of rescued birds; improvement of rescue campaigns, particularly in terms of increasing recovery rates and level of care; and research on seabird-friendly lights to reduce attraction.","RAYYAN-INCLUSION: {""Carrie An""=>""Included""}",,,,
7488,rayyan-1101989320,Include,Atlantic Puffins are Attracted to Coastal Communities in Eastern Newfoundland,2013.0,1,1,,1092-6194,20.0,4.0,624-630,"Wilhelm, Sabina I. and Schau, Juergen J. and Schau, Elfie and Dooley, Suzanne M. and Wiseman, Dena L. and Hogan, Holly A.",,,,,"The Puffin Patrol is a volunteer-based group that rescues fledgling Fratercula arctica (Atlantic Puffin) stranded in coastal communities overlooking the Witless Bay Seabird Ecological Reserve in Newfoundland, Canada, which hosts the two largest Atlantic Puffin colonies in North America. We examine local environmental factors (visibility, moon phase) that may influence light attraction in Atlantic Puffins and explore the use of weight data and other information collected through this volunteer-based initiative to help monitor the health of this important population. In 2011, only 13 live Atlantic Puffins were captured despite nightly search efforts throughout the fledging period; this low capture rate was attributed to poor breeding success at the colony. In contrast, in 2012, 414 live fledgling puffins were captured and successfully released between 6 August and 5 September; 388 of these were banded and weighed prior to release. Capture rates on nights with poor visibility due to fog (26 fledglings per night) were similar to fogless nights (24 fledglings per night). Most live Atlantic Puffins were captured within a two-week period around the new moon. Fledglings weighed 248 +/- 25 (SD) g, range = 160-315 g; weights significantly declined over the fledging period. In addition to the direct conservation benefits of saving grounded Atlantic Puffins, information collected through this volunteer-based initiative 1) provides insight on factors affecting Atlantic Puffins' attraction to coastal communities, 2) shows the importance of mitigating artificial light during the birds' fledging period within these developing communities, and 3) helps collect important demographic information without causing additional disturbance to the colonies.","RAYYAN-INCLUSION: {""Carrie An""=>""Included""}",,Newfoundland and Labrador,,
8328,rayyan-1101990160,Include,An improved night-lighting technique for the selective capture of sandgrouse and other steppe birds,2011.0,1,1,,1612-4642,57.0,2.0,389-393,"Benitez-Lopez, Ana and Mougeot, Francois and Martin, Carlos A. and Casas, Fabian and Calero-Riestra, Maria and Garcia, Jesus T. and Vinuela, Javier",,,,,"The night-lighting technique is routinely used to catch birds. We improved this technique using a thermal infrared camera to catch steppe birds such as the sandgrouse. Target birds were located by an observer using the thermal camera, and approached and dazzled by another observer carrying a spotlight attached to a helmet and a hand-held net together with a playback noise to camouflage the footsteps of the observer. Using this improved technique, we caught on average 1.14 individuals per 3-h capture session (N = 81) and a total of 92 sandgrouse in 2007-2010 (86 pin-tailed sandgrouse Pterocles alchata and six black-bellied sandgrouse Pterocles orientalis). Capture rate and success were negatively influenced by moonlight (lowest during full moon nights). Our night-lighting technique is a highly selective and harmless method to capture sandgrouse and can be used for other small/medium-sized open-land birds or mammals.","RAYYAN-INCLUSION: {""Carrie An""=>""Included""}",,,,
9960,rayyan-1101991792,Include,LIGHT-INTENSITY AND HOUSING FOR PIGEONS,1976.0,1,1,,0032-5791,55.0,2.0,755-757,"COOPER, JB",,,,,,"RAYYAN-INCLUSION: {""Carrie An""=>""Included""}",,,,
5375,rayyan-1101987140,Include,Investigation of fallout events in Hutton's shearwaters (Puffinus huttoni) associated with artificial lighting,2017.0,1,1,,0029-4470,64.0,4.0,181-191,"Deppe, Lorna and Rowley, Olivia and Rowe, Lindsay K. and Shi, Nola and McArthur, Nicky and Gooday, Oliver and Goldstien, Sharyn J.",,,,,"The risk of disorientation by artificial lights and subsequent 'fallout' has become a widely recognised issue for nocturnal procellariiform species. Using data from community-based rescue campaigns and systematic research, we assessed the characteristics of fallout events observed in fledglings of the threatened New Zealand endemic Hutton's shear-water (Puffinus huttoni) or Kaikoura titi. Despite strong annual variation in observed fallout numbers, the proportion of annually produced fledglings collected as 'fallout birds' remained below 1% each year. Among those, more than 80% survived due to community rescue efforts. Fallout was found to increase significantly during new moon, while weather effects remained inconclusive. Most fallout occurred within brightly lit areas of Kaikoura township, particularly along its coastal roads. High light source densities and high wattage lights appeared to be influential in some areas but could only partly explain the spatial distribution of fallout at this small scale.","RAYYAN-INCLUSION: {""Carrie An""=>""Included""}",,,,
8058,rayyan-1101989890,Include,"Remote sensing to map influence of light pollution on Cory's shearwater in Sao Miguel Island, Azores Archipelago",2012.0,1,1,,1612-4642,58.0,1.0,147-155,"Rodrigues, Pedro and Aubrecht, Christoph and Gil, Artur and Longcore, Travis and Elvidge, Chris",,,,,"Global economic and population growth increase the extent and intensity of artificial night lighting. From an ecological perspective, this is light pollution, which causes changes in reproductive physiology, migration and foraging of many species and ultimately leads to loss of biodiversity. Some seabirds are intimately linked with the light features of their environments because they are nocturnally active. We report light-induced groundings of Cory's shearwater (Calonectris diomedea) during a 2-year study (2008 and 2009) in Sao Miguel Island, in the Azores archipelago, and investigate the spatial correlation of locations of grounded birds with an annual composite of remotely sensed stable lights. Results indicate that 16.7% of fledglings are attracted to lights. The exposure of shearwater colonies in the study area to artificial night lighting is low overall. Four colonies account for 87% of the grounded birds. The distance each bird was found from the closest colony was best explained by the ratio of the satellite-measured light levels at the grounding spot to the light levels at the assigned colony of origin. These results demonstrate that satellite-observed nighttime lights are sufficient to assess risk to marine birds at the scale of oceanic islands and indicate their utility for monitoring the effectiveness of programs to manage lighting to reduce risk for these species and conducting global assessments of species vulnerability. To minimize the impact on Cory's shearwater and other marine birds, we recommend measures such as reduction and control of lighting intensity near colony locations, while continuing and re-enforcing rescue campaigns.","RAYYAN-INCLUSION: {""Carrie An""=>""Included""}",,,,
6900,rayyan-1101988732,Include,Cowbird responses to aircraft with lights tuned to their eyes: Implications for bird-aircraft collisions,2015.0,1,1,,0010-5422,117.0,2.0,165-177,"Doppler, Megan S. and Blackwell, Bradley F. and DeVault, Travis L. and Fern and ez-Juricic, Esteban",,,,,"Collisions between birds and aircraft (bird strikes) are expensive, risk human lives, and increase bird mortality. Aircraft lighting has been proposed as a potential means of enhancing avian responses to aircraft. Determining the optimal changes to lighting to reduce bird strikes is a complicated problem because avian visual systems differ markedly from that of humans. Icteridae, including Brown-headed Cowbirds (Molothrus ater; hereafter ""cowbirds''), are involved in bird strikes, have a well-described visual system, and respond to approaching vehicles and lights. Our goal was to assess cowbirds' responses to a remote-controlled (RC) aircraft fitted with lights tuned to the cowbird eye. On the basis of perceptual modeling (i.e. visual physiology, object and background reflectance, and ambient light conditions), we found that 470-nm lights (""blue'' portion of the human spectrum) would be the most conspicuous wavelength for cowbirds. We used field experiments to examine cowbird response to 470-nm light treatments. Cowbirds exhibited alert behaviors to a stationary RC aircraft with lights on (both continuous and pulsing) in less than half the time they took to do so with lights off. In response to an approaching RC aircraft, cowbird alert responses were delayed at higher aircraft speeds with the lights off, and we noted a less pronounced speed effect with pulsing lights. However, this interaction effect of aircraft speed and lighting was eliminated with continuous lights. Additionally, higher ambient noise levels delayed cowbirds' avoidance responses to the RC aircraft, possibly influencing cowbird behavior as a sensory distractor. We suggest that some types of lighting may enhance the birds' detection and visual tracking of aircraft at high speeds and, thus, holds some potential as a means of reducing the frequency of bird strikes. This sensory-based approach also has implications for management of other bird-object collision problems.","RAYYAN-INCLUSION: {""Carrie An""=>""Included""}",,,,
7025,rayyan-1101988857,Include,"Birds of the Ailao Mountains, Yunnan province, China",2015.0,1,1,,0950-1746,,31.0,47-54,Wu Fei and Liu Luming and Gao Jianyun and Yan Dao and Hu Wanzhao and Yang Ting and Xia Ji and Liu Qiang and Yang Xiaojun,,,,,"The Ailao Mountains located in central Yunnan province, China, are part of the Indo-Burma biodiversity hotspot and recognised as a high priority area for biodiversity. Between 2005 and 2014 we conducted 16 bird surveys by light-trapping, mist-netting, and point counts, recording 381 species and; together With additional records from the literature and nature reserve management bureaus, compiled a total of 462 species for the Ailao Mountains. The area includes two Important Bird Areas providing important habitats for threatened Species such as Green Peafowl Pavo muticus, White-eared Night Heron Gorsachius magnificus, Giant Nuthatch Sitta magna, Yellow-breasted Bunting Emberiza aureola, Fairy Pitta Pitta nympha and Brown-chested Jungle Flycatcher Rhinomyias brunneatus. It is also the most important bird migration corridor in south-west China, with 170 species recorded by light-trapping during migration seasons. The current reserve system is still inadequate to protect bird diversity in the:region. We suggest that more conservation efforts should be concentrated in lower-altitude areas in the Ailao Mountains.","RAYYAN-INCLUSION: {""Carrie An""=>""Included""}",,Mountaineering;China,,
1646,rayyan-1101983411,Include,"The magnetic compass of domestic chickens, Gallus gallus",2007.0,1,1,,0022-0949,210.0,13.0,2300-2310,"Wiltschko, Wolfgang and Freire, Rafael and Munro, Ursula and Ritz, Thorsten and Rogers, Lesley and Thalau, Peter and Wiltschko, Roswitha",,,,,"By directional training, young domestic chickens have been shown to use a magnetic compass; the same method has now been used to analyse the functional characteristics and the physical principles underlying the chickens' magnetic compass. Tests in magnetic fields with different intensities revealed a functional window around the intensity of the local geomagnetic field, with this window extending further towards lower than higher intensities. Testing chickens under monochromatic 465 nm blue and 645 nm red light suggested a wavelength dependence, with orientation possible under blue but not under red light. Exposing chickens to an oscillating field of 1.566 MHz led to disorientation, identifying an underlying radical pair mechanism. Local anesthesia of the upper beak, where iron-rich structures have been described as potential magnetoreceptors, did not affect the performance, suggesting that these receptors are not involved in compass orientation. These findings show obvious parallels to the magnetic compass described for European robins, indicating that chickens and small passerines use the same type of magnetic compass mechanism. This suggests that the avian magnetic compass may have evolved in the common ancestor of all present-day birds to facilitate orientation within the home range.","RAYYAN-INCLUSION: {""Carrie An""=>""Included""}",,Chickens,,
11200,rayyan-1101993032,Include,Inadequate environmental monitoring around offshore oil and gas platforms on the Grand Bank of Eastern Canada: Are risks to marine birds known?,2012.0,1,1,,0301-4797,104.0,,121-126,"Burke, C. M. and Montevecchi, W. A. and Wiese, F. K.",,,,,"Petroleum exploration and production on the Grand Bank of eastern Canada overlaps with productive marine habitat that supports over 40 million marine birds annually. Environmental assessments for oil and gas projects in the region predict insignificant adverse effects on marine birds from oil spills, incineration in platform flares and collisions. Limited baseline data on seasonal occupancies and a failure to quantify the nature and extent of marine bird attraction to platforms and related mortality undermines these assessments. We conducted 22 surveys to offshore platforms on the Grand Bank during 1999-2003 to measure avian associations with platforms and to determine the level of monitoring needed to assess the risks to marine birds. We document seasonal shifts in marine bird occurrences and higher densities of auks (fall) and shearwaters (summer) around platforms relative to surrounding areas. The limited temporal and spatial coverage of our surveys is more robust than existing industry monitoring efforts, yet it is still inadequate to quantify the scale of marine bird associations with platforms or their associated mortality risks. Systematic observations by independent biologists on vessels and platforms are needed to generate reliable assessments of risks to marine birds. Instead, the regulatory body for offshore oil and gas in eastern Canada (Canada - Newfoundland and Labrador Offshore Petroleum Board; C-NLOPB) supports industry self-reporting as the accepted form of environmental monitoring. Conflicting responsibilities of oil and gas regulatory agencies for both energy development and environmental monitoring are major barriers to transparency, unbiased scientific inquiry and adequate environmental protection. Similar conflicts with the oil and gas regulatory body in the United States, the former Minerals and Management Service (MMS) were identified by the U.S. President as a major contributor to the Deepwater Horizon disaster in the Gulf of Mexico. The MMS has since been restructured into the Bureau of Ocean Energy Management, (BOEM) with separate departments responsible for drilling leases and the regulation of drilling activities. Similar restructuring of the oil and gas regulatory bodies in Canada is needed for better public information, scientific investigation and environmental protection in the offshore. (C) 2012 Elsevier Ltd. All rights reserved.","RAYYAN-INCLUSION: {""Carrie An""=>""Included""}",,Canada;Military Personnel,,
9809,rayyan-1101991641,Include,POLARIZING FILTERS FAIL TO REDUCE LIGHT ATTRACTION IN NEWELL SHEARWATERS,1987.0,1,1,,0091-7648,15.0,4.0,596-598,"REED, JR",,,,,,"RAYYAN-INCLUSION: {""Carrie An""=>""Included""}",,,,
501,rayyan-1101982266,Include,Do birds in flight respond to (ultra)violet lighting?,2017.0,1,1,,2053-7166,8.0,,-,"May, Roel and Astrom, Jens and Hamre, Oyvind and Dahl, Espen Lie",,,,,"Background: Concerns for bird collisions with wind turbines affect the deployment of onshore and offshore windpower plants. To avoid delays in consenting processes and to streamline the construction and operation phase, functional mitigation measures are required which efficiently reduces bird mortality. Vision is the primary sensory system in birds, which for a number of species also includes the ultraviolet spectrum. Many bird species that are known to collide with offshore wind turbines are sensitive in the violet or ultraviolet spectrum. For species that are mainly active at lower ambient light levels, lighting may deter birds from the lit area. Utilizing (ultra) violet lights may in addition not disturb humans. However, we do not know whether UV-sensitive birds in flight actually respond behaviourally to UV lights. Methods: We therefore tested the efficacy of two types of lights within the violet (400 nm) and ultraviolet (365 nm) spectrum to deter birds from the lit area. These lights were placed vertically and monitored continuously between dusk and dawn using an avian radar system. Results: Relative to control nights, bird flight activity (abundance) was 27% lower when the ultraviolet light was on. Violet light resulted in a 12% decrease in overall abundance, and in addition, a vertical displacement was seen, increasing the average flight altitude by 7 m. Although temporal changes occurred, this effect persisted over the season below 40 m above sea level. Conclusions: Although the results from this pilot study are promising, we argue there still is a long way to go before a potentially functional design to mitigate collisions that has proven to be effective in situ may be in place.","RAYYAN-INCLUSION: {""Carrie An""=>""Included""}",,,,
2840,rayyan-1101984605,Include,"Light-dependent magnetoreception in birds: the behaviour of European robins, Erithacus rubecula, under monochromatic light of various wavelengths and intensities",2001.0,1,1,,0022-0949,204.0,19.0,3295-3302,"Wiltschko, W and Wiltschko, R",,,,,"To investigate how magnetoreception is affected by the wavelength and intensity of light, we tested European robins, Erithacus rubecula, under monochromatic lights of various wavelengths at two intensities using oriented behaviour as an indicator of whether the birds could derive directional information from the geomagnetic field. At a quantal flux of 7x10(15) quanta s(-1) m(-2), the birds were well oriented in their migratory direction east of North under 424 nm blue, 510 nm turquoise and 565 nm green light, whereas they were disoriented under 590 nm yellow light. Increasing the intensity of light at the same wavelengths more than sixfold to 43x10(15) quanta s(-1) m(-2) resulted in a change in behaviour: under bright blue and green light, the birds now showed a preference for the East-West axis, with the majority of headings at the western end; under bright turquoise light, they oriented unimodally towards a direction slightly west of North. Under bright yellow light, the birds continued to be disoriented. These findings suggest a rather complex relationship between the receptors involved in magnetoreception. Magnetoreception appears to follow rules that are different from those of vision, suggesting that light-dependent magnetoreception may involve receptors and neuronal pathways of its own.","RAYYAN-INCLUSION: {""Carrie An""=>""Included""}",,,,
7021,rayyan-1101988853,Include,Enhanced Audio-Visual Warnings for Reducing Bird Fatalities at Wind Turbines,2015.0,1,1,,,,,-,"Khan, Shahriar and Haque, Md. Ikramul",,,,,"Bird and bat fatalities by wind turbines has slowed the installation of new turbines, and even prompted the dismantling of existing turbines. Other animals can coexist in artificially created dangerous environments, like dogs maneuvering among cars in busy streets. Based on this concept, a previous paper has proposed that bird and bat mortality can be reduced by audio visual warnings in the proximity of wind turbines. This paper proposes further details of audio visual warnings, including directional lights, which will enhance the learning process and act as warnings. The leading edges and the peripheral regions of the blades are most likely to strike birds and bats, which may be trained to keep away by the colors, lighting and sounds of leading edges. Lights and sounds need only have a range of a few tens of meters and directionality towards the danger zone, meaning the lights and sounds will be imperceptible to humans in the vicinity. So that the globally mobile birds do not have to relearn the warning signals, countries can converge towards common standards for the warning colors, lights and sounds on wind turbines.","RAYYAN-INCLUSION: {""Carrie An""=>""Included""}",,,,
11229,rayyan-1101993061,Include,Mortality of Migratory Birds from Marine Commercial Fisheries and Offshore Oil and Gas Production in Canada,2013.0,1,1,,1712-6568,8.0,2.0,-,"Ellis, Joanne I. and Wilhelm, Sabina I. and Hedd, April and Fraser, Gail S. and Robertson, Gregory J. and Rail, Jean-Francois and Fowler, Mark and Morgan, Ken H.",,,,,"There is an imminent need for conservation and best-practice management efforts in marine ecosystems where global-scale declines in the biodiversity and biomass of large vertebrate predators are increasing and marine communities are being altered. We examine two marine-based industries that incidentally take migratory birds in Canada: (1) commercial fisheries, through bycatch, and (2) offshore oil and gas exploration, development, and production. We summarize information from the scientific literature and technical reports and also present new information from recently analyzed data to assess the magnitude and scope of mortality. Fisheries bycatch was responsible for the highest levels of incidental take of migratory bird species; estimated combined take in the longline, gillnet, and bottom otter trawl fisheries within the Atlantic, including the Gulf of St. Lawrence, and Pacific regions was 2679 to 45,586 birds per year. For the offshore oil and gas sector, mortality estimates ranged from 188 to 4494 deaths per year due to the discharge of produced waters resulting in oil sheens and collisions with platforms and vessels; however these estimates for the oil and gas sector are based on many untested assumptions. In spite of the uncertainties, we feel levels of mortality from these two industries are unlikely to affect the marine bird community in Canada, but some effects on local populations from bycatch are likely. Further research and monitoring will be required to: (1) better estimate fisheries-related mortality for vulnerable species and populations that may be impacted by local fisheries, (2) determine the effects of oil sheens from produced waters, and attraction to platforms and associated mortality from collisions, sheens, and flaring, so that better estimates of mortality from the offshore oil and gas sector can be obtained, and (3) determine impacts associated with accidental spills, which are not included in our current assessment. With a better understanding of the direct mortality of marine birds from industry, appropriate mitigation and management actions can be implemented. Cooperation from industry for data collection, research to fill knowledge gaps, and implementation of mitigation approaches will all be needed to conserve marine birds in Canada.","RAYYAN-INCLUSION: {""Carrie An""=>""Included""}",,Canada;Military Personnel,,
6122,rayyan-1101987887,Include,ATTRACTION OF HAWAIIAN SEABIRDS TO LIGHTS - CONSERVATION EFFORTS AND EFFECTS OF MOON PHASE,1987.0,1,1,,0091-7648,15.0,3.0,406-413,"TELFER, TC and SINCOCK, JL and BYRD, GV and REED, JR",,,,,,,,,,
590,rayyan-1101982355,Exclude,One stone two birds: novel carbon nanotube/Bi4VO8Cl photocatalyst for simultaneous organic pollutants degradation and Cr(VI) reduction,2017.0,1,1,,0944-1344,24.0,29.0,23309-23320,"Zhang, Xia and Shi, Dongyang and Fan, Jing",,,,,"In this work, visible light-responsive carbon nanotubes (CNTs)/Bi4VO8Cl composite photocatalysts have been prepared by a facile in situ hydrothermal method and characterized by various techniques. The photocatalytic properties of the photocatalysts are evaluated by the degradation of refractory azo-dye methyl orange (MO), hexavalent chromium Cr(VI), and bisphenol A (BPA) in water under visible light irradiation. It is found that the as-prepared composite with 4 wt% CNTs shows an optimal photocatalytic performance, and its photocatalytic activity is 30% higher than that of pure Bi4VO8Cl. The enhanced photocatalytic activity is ascribed to the synergetic effects induced by increased light absorption, increased adsorption efficiency for pollutant, and suppressed recombination rate of photogenerated charge carriers. Furthermore, efficient removals of Cr(VI), bisphenol A (BPA), and combined contamination of Cr(VI) and BPA over CNTs/Bi4VO8Cl composite further confirm that the degradation of organic pollutants is a photocatalytic mechanism rather than photosensitization of dye. Of particular importance is that removal efficiency of single pollutant can be promoted by the coexistence of the Cr(VI) and organics. The mechanism of synergetic promotion is discussed and attributed to the accelerated separation of charge carriers resulted from their simultaneously being captured by pollutants. Moreover, the CNTs/Bi4VO8Cl composite exhibits good stability and recycling performance in the photocatalytic degradation process. Therefore, the composite photocatalysts developed in the present work are expected to have the potential in purification of complex wastewater.","RAYYAN-INCLUSION: {""Carrie An""=>""Excluded""}",,,,
7987,rayyan-1101989819,Exclude,Plumage yellowness predicts foraging ability in the blue tit Cyanistes caeruleus,2012.0,1,1,,0024-4066,106.0,2.0,418-429,"Garcia-Navas, Vicente and Ferrer, Esperanza S. and Jose Sanz, Juan",,,,,"Carotenoid-based coloration in adult birds has been often regarded as an honest signal of individual quality. However, few studies have demonstrated a link between carotenoid display and the quantity or quality of resources provided to the offspring. The present study investigated the expression of a carotenoid-based ornament, the breast plumage yellowness of the blue tit Cyanistes caeruleus, in relation to the level of parental provisioning effort and the amount of carotenoid-rich prey provided to the young. The study was conducted in two forest types (evergreen and deciduous), which also allowed an exploration of the possible existence of habitat effects on the coloration of breeding birds. It was found that plumage colour intensity (carotenoid chroma) correlated positively with nestling provisioning rates of both males and females, supporting the good parent hypothesis. In addition, carotenoid chroma was positively related with the proportion of Lepidoptera larvae brought to the nest in both sexes. Female but not male coloration was positively linked to breeding success (proportion of fledged young). Nestling coloration did not correlate with that of their parents, nor the frequency with which they were fed. Hue and lightness of nestling's plumage correlated positively with body mass and tarsus length, respectively. The results obtained in the present study indicate that ventral plumage coloration in blue tits may advertise the ingested carotenoids (carotenoid foraging ability) and also their overall parental quality in terms of nestling provisioning rates. This suggests that plumage yellowness can be used as an indicator of foraging ability in this species. (c) 2012 The Linnean Society of London, Biological Journal of the Linnean Society, 2012, 106, 418429.",,,,,
8907,rayyan-1101990739,Exclude,Stalking the mitochondrial ATP synthase: Ina found guilty by association,2014.0,1,1,,0261-4189,33.0,15.0,1617-1618,"Stroud, David A. and Ryan, Michael T.",,,,,"In this issue, the groups of Peter Rehling and Martin van der Laan report the identification of a new protein complex that is involved in the assembly of the peripheral stalk of the yeast mitochondrial F1Fo-ATPase (Lytovchenko et al, 2014). Their work sheds new light onto the biogenesis of this fascinating and important machine.",,,,,
19,rayyan-1101981784,Exclude,Barn swallows prefer to nest at sites hidden from neighboring nests within a loose colony,2007.0,1,1,,0289-0771,25.0,2.0,117-123,"Fujita, Go and Higuchi, Hiroyoshi",,,,,"Some loosely colonial species scatter their nests within a colony. Most studies on mechanisms that generate such scattered nests within a colony have primarily focused on the measurement of distance related to the intensity of interactions among conspecific neighbors. However, these interactions can change not only with distance between nests but also with other factors. In particular, whether the nest is hidden from neighbors can strongly affect the intensity of interaction for birds that usually use sight for communication. To show the possible benefit of nesting at sites hidden from neighboring nests, we studied the nest arrangements and settlement patterns within a barn swallow colony. We tested whether the swallows prefer nesting at sites hidden from neighboring nests in cattle barns that are often used as colony sites by the swallows in Japan. We found that the sides of ceiling beams hidden from neighbors were preferred as nesting sites. A randomization test suggested that the rectangular sections occupied by swallows were not spaced out within a colony. The results suggested that the swallows preferred nesting sites hidden from their neighbors and did not space out their nests within a colony. This paper also refutes intraspecific brood parasitism as a plausible function of this behavior.","RAYYAN-INCLUSION: {""Carrie An""=>""Excluded""}",,Deglutition,,
7146,rayyan-1101988978,Exclude,Neuronal mechanism for acute mechanosensitivity in tactile-foraging waterfowl,2014.0,1,1,,0027-8424,111.0,41.0,14941-14946,"Schneider, Eve R. and Mastrotto, Marco and Laursen, Willem J. and Schulz, Vincent P. and Goodman, Jena B. and Funk, Owen H. and Gallagher, Patrick G. and Gracheva, Elena O. and Bagriantsev, Sviatoslav N.",,,,,"Relying almost exclusively on their acute sense of touch, tactile-foraging birds can feed in murky water, but the cellular mechanism is unknown. Mechanical stimuli activate specialized cutaneous end organs in the bill, innervated by trigeminal afferents. We report that trigeminal ganglia (TG) of domestic and wild tactile-foraging ducks exhibit numerical expansion of large-diameter mechanoreceptive neurons expressing the mechano-gated ion channel Piezo2. These features are not found in visually foraging birds. Moreover, in the duck, the expansion of mechanoreceptors occurs at the expense of thermosensors. Direct mechanical stimulation of duck TG neurons evokes high-amplitude depolarizing current with a low threshold of activation, high signal amplification gain, and slow kinetics of inactivation. Together, these factors contribute to efficient conversion of light mechanical stimuli into neuronal excitation. Our results reveal an evolutionary strategy to hone tactile perception in vertebrates at the level of primary afferents.",,,,,
9286,rayyan-1101991118,Exclude,Imaging and rendering of oil paintings using a multi-band camera,2004.0,1,1,,,,,10-Jun,"Tominaga, S and Tanaka, N and Komada, T",,,,,"This paper proposes a method for imaging and rendering of art paints by using a multi-band camera system. The surface shape of an art painting is considered as a rough plane rather than a three-dimensional curved surface. First, we present an algorithm for estimating surface normal at each pixel point, based on a photometric stereo without using a rangefinder. Next, an algorithm is presented for estimating the spectral reflectance function from a set of pixel values acquired at different illumination directions. Then, the surface reflectance and normal data are used for estimating the light reflection properties. The Torrance-Sparrow model is used for the model fitting and parameter estimation. Finally, an experiment using an oil painting is executed for demonstrating the feasibility of the proposed method.",,,,,
